Commune,mean
AUBERVILLIERS,4419.0
MOISSELLES,3432.0
PIERRELAYE,3808.0
BAILLY,5438.0
SALINS,2202.0
DAMMARIE-LES-LYS,2923.0
DAMPIERRE-EN-YVELINES,4321.0
BOMBON,2447.0
LA CHAPELLE-MOUTILS,1801.0
VILLIERS-SUR-SEINE,1570.0
SOUZY-LA-BRICHE,4562.0
SAINT-ILLIERS-LE-BOIS,2661.0
DAVRON,4629.0
COURDIMANCHE,3633.0
MONTMACHOUX,1925.0
GOMETZ-LA-VILLE,3884.0
LES LILAS,7574.0
MONDREVILLE,2384.0
BONNIERES-SUR-SEINE,2509.0
CHEVILLY-LARUE,4652.0
MISY-SUR-YONNE,2056.0
ALLAINVILLE,1608.0
VAUGRIGNEUSE,3151.0
PECY,2374.0
NOISEAU,4101.0
COMBS-LA-VILLE,3244.0
BOIS-HERPIN,3481.0
SAINT-GERMAIN-EN-LAYE,7200.0
RONQUEROLLES,3391.0
CHAVILLE,6896.0
SAINT-GERVAIS,2872.0
MAREUIL-LES-MEAUX,3249.0
GRANDCHAMP,2080.0
EPIAIS-RHUS,3244.0
SAINT-SAUVEUR-LES-BRAY,2203.0
LE CHESNAY,6827.0
SAINT-GRATIEN,4866.0
SAINT-FORGET,3799.0
GOUZANGREZ,2689.0
MULCENT,2957.0
LOUVECIENNES,6031.0
TORCY,3558.0
MAULE,3515.0
LIMAY,2627.0
VAUX-SUR-LUNAIN,1313.0
SANCY,2966.0
EVECQUEMONT,3377.0
GENTILLY,6748.0
ANDRESY,4047.0
ETAMPES,2606.0
LE CHATELET-EN-BRIE,2878.0
BRUEIL-EN-VEXIN,2938.0
MAISONCELLES-EN-BRIE,2823.0
VILLUIS,1542.0
SAINT-GERMAIN-LAVAL,2100.0
CHARNY,3389.0
GUIBEVILLE,3481.0
DROCOURT,2326.0
ISLES-LES-VILLENOY,3124.0
CONGERVILLE-THIONVILLE,2220.0
ITTEVILLE,3230.0
LES CHAPELLES-BOURBON,3362.0
AUFFERVILLE,1870.0
SAINT-BARTHELEMY,1977.0
VIRY-CHATILLON,3651.0
VILLEROY,2995.0
MARCQ,3338.0
CROISSY-BEAUBOURG,4077.0
SAINT-MARTIN-DES-CHAMPS,2024.0
PECQUEUSE,3536.0
RUMONT,2008.0
NEUILLY-SUR-MARNE,3956.0
PARAY-DOUAVILLE,2665.0
SAINT-MAURICE,7077.0
LA QUEUE-LES-YVELINES,3419.0
PARIS-1ER-ARRONDISSEMENT,13539.0
BOINVILLE-LE-GAILLARD,2012.0
